Set,Sentence1,Sentence2,Label,id,predicted,error_type
train,The United States ' INDC up to 2030 would require the nation to decarbonize at a rate of 6 percent .,nuclear energy,NEU,19643,NEU,correct
train,The only reason that the BCS is still controlling the football post-season is because the system has become entrenched .,school uniforms,NEU,22636,PRO,polarized
train,The city of Denver saw a decrease in violent crime rates in the first 11 months of 2014 .,marijuana legalization,NEU,15977,CON,polarized
train,"It 's suitable for shipping , particularly for vessels that spend a lot of time at sea , this is why it has proven most useful for military applications for submarines that are often away for many months at a time ( 6 ) - the UK 's Trident fleet is nuclear , as are most aircraft carriers in US and European navies .",nuclear energy,PRO,22385,PRO,correct
train,"Do n’t act as though you do n’t feel that giddy giggle building in your stomach , that sense of power , standing slightly taller , when you know others fear you , or regard you as superior .",gun control,NEU,13022,CON,polarized
train,What if I can not afford to buy the clothes necessary for my school uniform ?,school uniforms,NEU,22938,CON,polarized
train,But putting students in uniforms actually nurtures that very gang mentality that parents like to protect their children from .,school uniforms,CON,25375,CON,correct
train,"Although this may seem a little vague , studies have shown that the states which have a higher number of guns owned by its citizens , also has a suicide rate .",gun control,PRO,12797,PRO,correct
train,"The plaintiff 's requests were for injunctive relief , the expunging of suspensions from Jacob 's school record and awarding of damages .",school uniforms,NEU,22802,PRO,polarized
train,"However , as indicated the changes in frequency of these infractions were independent of which dress code was operative at a school .",school uniforms,CON,24119,NEU,neutralized
train,"Our criminal investigators , along with individuals under the age of 21 , make attempts to purchase at those locations so we can see whether or not a business is in compliance .",marijuana legalization,NEU,14044,CON,polarized
train,"If the definition of insanity is , as Einstein once quipped , “ Doing the same thing over and over again and expecting different results , ” then we would be certifiable to trust the government to effectively regulate firearms of any type , let alone assault rifles .",gun control,CON,11564,PRO,flipped
train,But that ’s why we have democratic elections : to keep groups of 10 % from forcing their will on the 90 % .,gun control,NEU,11046,CON,polarized
test,"The Congressional Budget Office ( CBO ) , a nonpartisan federal agency , evaluated a proposed anti-abortion bill that would ban all abortions nationwide after 20 weeks of pregnancy , and found that the resulting additional births would increase the federal deficit by $ 225 million over nine years , due to the increased need for Medicaid coverage .",abortion,PRO,3585,PRO,correct
test,"For instance , in Colorado , analysts recommend that taxing the drug could raise millions of dollars each year .",marijuana legalization,PRO,14017,PRO,correct
train,The U.S. court system goes to enormous lengths before allowing a death sentence to be carried out .,death penalty,PRO,10415,NEU,neutralized
train,"That ’s true , but the question here is n’t whether nuclear power is dangerous ; it ’s whether the dangers associated with it outweigh the benefits it entails .",nuclear energy,NEU,20457,CON,polarized
train,You are the best person to realistically assess the tradeoff between the risks and rewards of gun ownership and decide what the best course of action is for your family .,gun control,CON,11252,CON,correct
train,Willing parents are waiting for babies .,abortion,CON,1660,CON,correct
train,The report combines an analysis of the costs of the death penalty with a newly released national poll of police chiefs who put capital punishment at the bottom of their law enforcement priorities .,death penalty,CON,9027,PRO,flipped
test,It goes against religious ethics .,cloning,CON,6825,CON,correct
train,"However , the members of a number of unions - including some with anti-uranium policies - continued to work in the uranium industry .",nuclear energy,NEU,19795,NEU,correct
train,We should n’t be giving to Planned Parenthood . ”,school uniforms,NEU,23535,NEU,correct
train,"In 1998 , the citizens of Washington State voted to raise theirs and then link future increases to the rate of inflation .",minimum wage,PRO,17874,NEU,neutralized
test,The Law of the United States rests on English common law by this means .,abortion,NEU,385,PRO,polarized
train,"It could , therefore , be argued that killing these people would be a very good thing .",death penalty,PRO,7545,NEU,neutralized
train,How do we know we have complete bodily autonomy ?,abortion,NEU,1534,NEU,correct
test,"While tobacco and cigarettes have a nasty reputation for pumping carcinogens into the lungs , marijuana is estimated to have levels of carcinogens that are almost double of that from tobacco smoke .",marijuana legalization,CON,14655,CON,correct
dev,Edited by : Dillon RS .,cloning,NEU,4033,CON,polarized
train,"After the initial cost of buying uniforms , there is no need to spend as much money on clothing .",school uniforms,PRO,25094,CON,flipped
train,"In a dark and crowded theater , he said , facing someone wearing bullet-resistant armor on much of his body , a gun , even in trained hands , would have been unlikely to do much good .",gun control,PRO,12939,PRO,correct
train,"There are some people who are not academic , does that mean they have to be poor ?",minimum wage,PRO,18009,NEU,neutralized
train,I need to revamp my wardrobe . ”,school uniforms,NEU,25313,PRO,polarized
train,Therapeutic abortion supplements spontaneous abortion when the natural “ abortion mill ” in a woman ’s uterus fails to identify and expel an ill-conceived pregnancy .,abortion,PRO,3503,PRO,correct
test,We knew what our options were & thought through them thoroughly .,abortion,NEU,3489,PRO,polarized
test,Three speakers ( Peter Brotherton of FOE ; Peter G. Cook of CANE and Peter F. Cook of the WA Trade and Labour Council ) addressed the audience .,nuclear energy,NEU,21849,PRO,polarized
train,One of the interesting things about modern nuclear power in the US is that few really understand how it works day to day -- including most experts who are commenting to the media on the topic .,nuclear energy,CON,19860,CON,correct
train,"The president stopped short of allowing federal funding for research using stem cells derived from frozen embryos , about 100,000 of which exist at fertility labs across the country , many awaiting destruction .",cloning,NEU,6377,NEU,correct
dev,"Speaking to the French Chamber of Deputies in 1830 , years after having witnessed the excesses of the French Revolution , the Marquis de Lafayette said , "" I shall ask for the abolition of the punishment of death until I have the infallibility of human judgment demonstrated to me . """,death penalty,CON,7128,PRO,flipped
train,"In addition , the Assembly was informed that Afghanistan , Cape Verde , Côte d’Ivoire , the Dominican Republic , Palau and the Solomon Islands had made the necessary payments to reduce their arrears below the amount specified in Article 19 of the Charter .",cloning,NEU,5650,PRO,polarized
test,"Of course , coming into my own personal style took some trial and error .",school uniforms,NEU,23149,NEU,correct
test,"Human clones have often been depicted in movies as nothing but carbon copies of their genetic predecessor with no minds of their own ( e.g. , Multiplicity and Star Wars : Attack of the Clones ) , as products of scientific experiments that have gone horribly wrong , resulting in deformed quasi-humans ( Alien Resurrection ) or murderous children ( Godsend ) , as persons created simply for spare parts for their respective genetic predecessor ( The Island ) , or as deliberate recreations of famous persons from the past who are expected to act just like their respective predecessor ( The Boys from Brazil ) .",cloning,CON,6876,PRO,flipped
train,"They 've been uusing undocumented immigrants for DECADES ( in violation of the law ) to keep wages down , and unions out .",minimum wage,PRO,17685,NEU,neutralized
train,"So , obviously , we need strong , sensible gun control and I will support it .",gun control,PRO,11791,CON,flipped
test,"The reasons for doing any action must out weigh the reasons for not doing the action , therefore cloning a person should not be because of capability .",cloning,CON,6304,NEU,neutralized
test,The study found that even those who quit in adulthood were not able to recover these IQ points .,marijuana legalization,CON,15747,PRO,flipped
train,""" The nuclear industry is a very big ship … and you have to turn a big ship slowly . """,nuclear energy,NEU,20815,CON,polarized
test,"According to James Sherk , MA , Senior Policy Analyst at the Heritage Foundation , a single mother working full time and earning the federal minimum wage of $ 7.25 an hour would be over $ 260 a month worse off if the minimum wage were raised to $ 10.10 : "" While her market income rises by $ 494 , she loses $ 71 in EITC [ earned income tax credit ] refunds , pays $ 37 more in payroll taxes and $ 45 more in state income taxes .",minimum wage,CON,18765,CON,correct
train,"Mr Bush has argued that it “ would contradict the most fundamental principle of medical ethics , that no human life should be exploited or extinguished for the benefit of another . ”",cloning,CON,5454,PRO,flipped
train,"Meanwhile , millions of animals languish in shelters awaiting adoption every year .",cloning,CON,6330,CON,correct
train,"“ Concerning ‘ nonviolence ’ – it is criminal to teach people not to defend themselves , when they are the victims of constant brutal attacks . ”",gun control,CON,13316,PRO,flipped
train,And it is empirically true that the great majority of America ’s tens of millions of law-abiding gun owners have not created chaos in society .,gun control,CON,12335,NEU,neutralized
test,"Because cloning recreates a pre-existing DNA sequence , the cloned child would be denied that uniqueness and , therefore , her dignity would be compromised .",cloning,CON,6963,CON,correct
train,"“ Marijuana doctors ” are listed in the classified advertising sections of newspapers , and many are conveniently located adjacent to “ dispensaries . ”",marijuana legalization,NEU,15459,CON,polarized
test,* The majority of known uranium around the world lies under land controlled by tribes or indigenous peoples who do n’t support it being mined from the earth .,nuclear energy,CON,19911,NEU,neutralized
train,""" It 's a Disaster because it protects stoned drivers .",marijuana legalization,CON,14367,NEU,neutralized
train,It is dangerously simplistic to say that the rise in executions is the only factor in the reduction of homicides in the US .,death penalty,CON,9853,PRO,flipped
train,"Additionally , accidents aside , our methods of execution — lethal injection , electrocution , firing squad , gas chamber , and hanging — may be inherently painful .",death penalty,CON,8195,CON,correct
train,"First and foremost , many administrators claim that students are not as distracted by how they look , and therefore , spend more time learning at school .",school uniforms,PRO,24857,PRO,correct
train,"Support was at 67 % in May , 2001 .",death penalty,NEU,9272,CON,polarized
test,"Therefore , risking that someone might be wrongfully executed is worth saving thousandï ¿ ½ s of innocent people who may be the next victim of murder ( Internet ) .",death penalty,CON,10260,NEU,neutralized
train,"Let 's see some moms and dads mourning over their little girl who was molested and murdered by some wicked devil , and then let 's see the rascal get what he deserves .",death penalty,PRO,8712,CON,flipped
test,"John Wayne Gacy , who was not afraid of death , was executed via lethal injection — the most efficient , risk-free method .",death penalty,PRO,9279,CON,flipped
train,This is a blatant form of racial inequality .,gun control,NEU,10783,PRO,polarized
train,""" Minimum-wage jobs are meant for high school students ! """,minimum wage,CON,17099,PRO,flipped
dev,"There ’s also less of a chance of a bully making fun of someone by saying , “ You ’re wearing the same shirt all week , ” he said .",school uniforms,PRO,25289,PRO,correct
train,"As the pressure continues to build for congressional action on gun violence in the wake of the Orlando massacre , the gun control debate will continue , in Congress and elsewhere .",gun control,NEU,11553,PRO,polarized
dev,Nuclear energy will compete with and squeeze out renewable energy .,nuclear energy,CON,19942,PRO,flipped
train,"The hot salt freezes at relatively high temperatures ( 450 – 500 ° C ) , so it requires heated removal systems .",nuclear energy,NEU,20877,CON,polarized
train,"Economists have tended to oppose minimum wages on the grounds that they reduce employment , hurting many of those they are supposed to help .",minimum wage,CON,16698,PRO,flipped
train,Uniforms are considered a form of discipline that schools use to control student behavior and often promote conventional gendered dress .,school uniforms,PRO,24033,NEU,neutralized
train,"If you want to honestly debate the merits of raising the minimum wage , however , you need to think beyond who earns it today .",minimum wage,NEU,16701,CON,polarized
test,What I have advocated is that we pass law in this country that says all human life at every stage of its development is worthy of protection .,abortion,CON,2789,CON,correct
train,"Miron and Waldock estimate that of that $ 41.3 billion in savings , about $ 8.7 billion would result from the legalization of marijuana alone and $ 32.6 billion from the legalization of other drugs , like cocaine and heroin .",marijuana legalization,PRO,14029,PRO,correct
train,It would reduce the sense of individuality that is available in modern society now because children would become exact duplicates of a parent .,cloning,CON,5385,NEU,neutralized
train,"Once built , the cost to operate a nuclear power plant is constant and predictable since the uranium fuel cost amounts to less than $ 0.0003 per KWH .",nuclear energy,PRO,21975,PRO,correct
train,"Even in a country with strict gun laws , a shooter was able to find one and use it .",gun control,CON,13371,NEU,neutralized
train,"A number of those testifying , such Noel Sargent of NAM , even argued that the bill would "" make the next depression worse than would otherwise be the case . """,minimum wage,CON,17306,PRO,flipped
train,"The fallacy that crueler punishments deter crime doesnâ € ™ t take into account that there are complex social and economic factors that drive crime rates , and secondly , that criminals do n’t often plan on getting caught or think through all the consequences of their actions .",death penalty,CON,7695,PRO,flipped
dev,The pros are clearly not as valuable as they were when the laws governing minimum wage were first started .,minimum wage,CON,18064,NEU,neutralized
train,"Although construction of safe nuclear power plants may be feasible , and may help meet rising energy needs in the short term , ignoring the longer term implications of nuclear power may lead to even bigger problems .",nuclear energy,CON,21579,CON,correct
train,This hardly justifies the present system .,death penalty,NEU,9361,CON,polarized
train,"The core of the argument here is that the minimum wage is meant to be commensurate with the work skills , education and productivity — at that point in time — of people entering the workforce .",minimum wage,PRO,17165,PRO,correct
train,"They are desperate , alone , scared , probably ashamed , and without options .",abortion,PRO,1430,CON,flipped
train,"They are humans because of their nature , their essence , not because of physical abilities or disabilities .",abortion,CON,2303,PRO,flipped
train,My other sister was pregnant and she was at risk or death when she was having her baby but she went through with the pregnancy anyways and they are both healthy and that baby girl is the sweetest little girl you 'll ever meet .,abortion,CON,1859,PRO,flipped
train,"For those studying the death penalty , these beliefs suggest many Americans have not only made up their minds about it , but they also have coalesced around defined reasons for holding those beliefs .",death penalty,NEU,9061,PRO,polarized
train,"In 1991 , Iraq launched Scud missiles at Israel ’s Dimona nuclear power plant .",nuclear energy,CON,19936,CON,correct
train,"However , this obstacle is not insurmountable , with an adequately open mind and a strong desire to learn .",nuclear energy,NEU,19301,NEU,correct
dev,It is unfair to force a kid to live in what they may see as hell because some pro-life people think they should be born anyways regardless of being a reason a future for the mom is now ruined while the mother raises a kid she never wanted .,abortion,PRO,3170,NEU,neutralized
train,"In the 1998 execution of Raymond Landry , also in Texas , "" the catheter carrying the lethal mixture to his vein popped out of his right arm , spurting the fluid about 2 feet in the direction of reporters and prison officials .",death penalty,NEU,7264,PRO,polarized
train,They would just shoot whoever ticks them off .,gun control,PRO,13586,CON,flipped
train,The fact is that directly attacking and killing the baby is a direct abortion even if the intentions are good .,abortion,CON,3490,PRO,flipped
train,"U.S. nuclear experts question whether filling the reactors with hundreds of tons of water is n’t also raising the possibility of a rupture in the containment vessel , which would trigger a massive further release of radioactivity .",nuclear energy,CON,19334,NEU,neutralized
test,"Gun control laws protect children and families : Moms Demand Action , a grassroots group founded in response to the tragedy at Sandy Hook Elementary School , believes guns in America are creating a public health crisis that is attacking children , citing statistics that show nearly eight American children are shot and killed every day .",gun control,PRO,12737,CON,flipped
train,"Even when everybody ’s wearing the same thing , a student ’s distinct personality will still stand out .",school uniforms,PRO,23455,CON,flipped
train,Is there any research into this matter ?,school uniforms,NEU,25059,CON,polarized
train,"Vice President Joe Biden , at a three-day White House summit on terrorism , opened by stating societies must provide economic alternatives to terrorism .",gun control,NEU,11584,CON,polarized
train,It seems quite likely that the current Catholic unease with the DP may owe a good deal to considerations which are more humanitarian than Christian .,death penalty,NEU,8606,CON,polarized
test,"As humans reproduce continually , there is also an increase in damage to their DNA lines , creating defective and mutated genes , which could be eliminated by cloning healthy human cells .",cloning,PRO,6895,PRO,correct
train,Their present wages are hopelessly inadequate .,minimum wage,PRO,17357,CON,flipped
train,“ Why would you claim to be a small government guy and propose such a dramatic reach into people ’s lives and personal decisions ? ”,abortion,PRO,2948,PRO,correct
train,"MASON TVERT : Colorado is demonstrating to not just the rest of the country , but the rest of the world , that it 's possible to regulate marijuana , and that it 's a better way of treating this product .",marijuana legalization,PRO,14864,NEU,neutralized
train,"Similarly , the ' tent embassy ' located on Parliament House lawns aimed to prick the conscience of the ALP .",nuclear energy,NEU,22456,NEU,correct
train,"If we are , however , really serious in our desire to reduce crime through harsher punishments alone , we must be prepared to execute every criminal who commits a capital crime irrespective of their sex , age ( above the legal minimum ) alleged mental state or background .",death penalty,PRO,9628,NEU,neutralized
test,"The United States government is the most powerful entity on the planet ; they do n’t just have guns , but also tanks , jets , satellites , and nuclear weapons .",gun control,NEU,10698,PRO,polarized
train,"Even in a presidential campaign that has become so intensely focused on gender , there was something surreal about watching Hillary Clinton ’s response to a question about abortion in Wednesday night ’s debate .",minimum wage,NEU,17184,NEU,correct
train,"The right to abortion is based on the right of privacy , not equal rights .",abortion,PRO,2405,NEU,neutralized
train,It is often seen that innocent people face wrongful execution .,death penalty,CON,8108,NEU,neutralized
test,Abortion should not be considered murder if the fetus is not self-sustaining and requires the mother ’s body and physical resources to survive .,abortion,PRO,3878,PRO,correct
train,"When there is a wheat surplus , the government buys it .",minimum wage,NEU,17819,CON,polarized
train,>> > now we turn to gun control and our post newtown era .,gun control,NEU,12003,PRO,polarized
train,So which was more convincing ?,abortion,NEU,3691,NEU,correct
test,"This provision guarantees the right to freedom from arbitrary government interference , as well as due process of law .",abortion,PRO,1390,PRO,correct
train,Tests showing birth defects are not done until the 16th week ; and some women do not discover they ’re pregnant until this time .,abortion,PRO,501,CON,flipped
train,Vermont is the only state where the legislature approved indexing of the minimum wage .,minimum wage,NEU,17231,PRO,polarized
dev,Human cloning for so-called therapeutic purposes is completely unethical .,cloning,CON,4935,CON,correct
train,"When BioArts closed , its owner , Lou Hawthorne , finally admitted to the problems with pet cloning that we have been warning about for years .",cloning,CON,5310,NEU,neutralized
train,"As a consequence , the Ranger Inquiry was set up in July 1975 to investigate the environmental impact of the proposed Ranger mine .",nuclear energy,NEU,20201,CON,polarized
train,"To that 26 percent , American gun culture can seem utterly inexplicable , its very existence dispiriting .",gun control,NEU,11835,NEU,correct
train,The awesome destructiveness seen at Hiroshima is one of the products of nuclear fission .,nuclear energy,CON,19964,CON,correct
train,We have to show this .,abortion,NEU,3678,CON,polarized
train,"Diseases which have dogged us for generations could be wiped out due to our evolving faster than they could ever hope to . """,cloning,PRO,6746,PRO,correct
train,NOT kill them because they COULD be a burden .,abortion,CON,3079,CON,correct
test,"There are personality differences between Rainbow and CC as well ; whereas Rainbow is described as a shy , reticent , and a more “ hands-off ” kind of cat , CC is described as more playful , inquisitive , and affectionate ( Hays , 2003 ) .",cloning,NEU,4623,CON,polarized
train,"It is not merely intervention in the body ’s natural processes , but the creation of a new and wholly unnatural process of asexual reproduction .",cloning,CON,6134,CON,correct
train,"Ballot arguments , which appear in the voter information guide , are important because few voters have the time or interest to read an entire measure .",marijuana legalization,NEU,14125,PRO,polarized
test,"Between l973 and l984 , for example , lethal assaults against police were not significantly more , or less , frequent in abolitionist states than in death-penalty states .",death penalty,CON,9429,NEU,neutralized
train,The availability of morally acceptable alternatives makes cloning-for-biomedical-research less justifiable .,cloning,CON,4200,PRO,flipped
train,"Rather , the real question is whether new technologies like reproduction by somatic cell nuclear transfer are presumptively morally wrong or presumptively morally right .",cloning,NEU,4971,NEU,correct
train,"However , subsequently at least two of the business owners quoted did expand .",minimum wage,NEU,18726,NEU,correct
train,Guns are a part of American culture .,gun control,CON,10660,PRO,flipped
train,"Unless the cloned child ’s life is made so horrible by her disabilities that it would have been better that she not been born at all , she was not harmed by being brought into existence via cloning , even if she is born with genetic defects as a result .",cloning,PRO,6328,PRO,correct
train,I strongly recommend this fantastic read .,gun control,NEU,11969,CON,polarized
train,"Medical marijuana is another thing , but I think it 's bad and I feel strongly about that … If they [ Colorado ] vote for it , they vote for it but , you know , they 've got a lot of problems going on right now in Colorado , some big problems . """,school uniforms,CON,22839,NEU,neutralized
train,"P.S. I am a teenager , so I do n't have a lot of experience , but I still think abortion should be avoided until the day that it becomes illegal .",abortion,CON,2497,NEU,neutralized
train,"An outright ban , he says , does not meet that standard .",cloning,NEU,3981,PRO,polarized
dev,"However when you look at the extensive list of pros you mentioned I think like you probably , wow why has n’t this process been studied and restudied over and over since the early 60 ’s .",nuclear energy,PRO,19519,CON,flipped
train,NCLB tests are drastically narrowing the curriculum .,school uniforms,NEU,22570,NEU,correct
train,Discretion in the criminal justice system is unavoidable .,death penalty,CON,7389,CON,correct
test,"A survey by the Small Business Network found that 82 % of small businesses agreed that "" the government should not be setting wage rates . """,minimum wage,NEU,18716,PRO,polarized
train,We will just make more insects extinct !,cloning,CON,5684,PRO,flipped
train,"Halt any investment in fossil fuel infrastructure , including natural gas , and phase out all fossil fuel power plants .",nuclear energy,PRO,20861,PRO,correct
dev,"One possible solution ( that would enrage the civil liberties groups ) would be to have everyone 's DNA profile data-based at birth ( not beyond the wit of modern computer systems ) , thus making detection of many murders and sex crimes much easier .",death penalty,NEU,9866,CON,polarized
train,"Obviously he could not have owned it prior to 7/1/13 , he was only 7 at the time therefore whenever and wherever he got it it was illegally .",gun control,NEU,10831,PRO,polarized
train,"But note : What makes Case 4 permissible is not merely the fact that the fetus is not a person but also your knowledge that it is not , your overcoming of skepticism .",abortion,PRO,2848,PRO,correct
train,Imagine a world where the precautionary principle rules because any NPP accident is seen as disastrous ( millions die – even when they do n’t ) .,nuclear energy,CON,21651,NEU,neutralized
dev,"Had I aged out of it , maybe — lost my youthful tolerance for violence ?",gun control,NEU,13321,NEU,correct
train,Legalized abortion is a sign of the moral decay that is destroying America .,abortion,CON,1625,CON,correct
train,The more companies paying these increased wages will only help attract young talent to your city — which will be a benefit for all . ”,minimum wage,PRO,17925,CON,flipped
test,"Put plainly , if somebody believes that they are going to practice violent “ self-defense ” against the American government if it tries to infringe on their rights , they are simply deluded .",gun control,PRO,11524,NEU,neutralized
dev,"At the same time , he is particularly concerned about the adverse impact of heavy recreational cannabinoid use on brain development and mental illness expression in younger people .",marijuana legalization,CON,14903,CON,correct
train,We emphasize that in this case we are considering effects caused by the risk of an accident .,nuclear energy,CON,21069,CON,correct
train,"Because marijuana metabolites can remain in a body for days or even weeks after use , we have no accurate way of telling if those people were legally impaired by marijuana at the time of the fatal accident .",marijuana legalization,CON,14781,CON,correct
train,Increased job growth and creation .,minimum wage,PRO,17236,NEU,neutralized
train,Sabet said opponents do n’t expect to be able to match the money raised by proponents because the backers have a financial incentive to invest in legalization .,marijuana legalization,NEU,15833,PRO,polarized
train,It does n't depend on fossil fuels and is n't affected by fluctuating oil and gas prices .,nuclear energy,PRO,19609,NEU,neutralized
test,"In fact , one way to look at this is that low minimum wage laws are government subsidies to low wage businesses .",minimum wage,NEU,18168,PRO,polarized
train,There are no actual anti-nuclear power arguments in Hunziker ’s piece .,nuclear energy,PRO,20066,PRO,correct
train,If we look at our modern education system ( and I am not overly criticizing here ) our institutions give a look of everything but education .,school uniforms,PRO,24533,PRO,correct
train,"In 2014 the share was down to 15.9 per cent , and by 2022 all nuclear plants are supposed to be offline .",nuclear energy,NEU,19157,CON,polarized
train,"Finally , nuclear power can provide a reliable , steady stream of electricity that 's not dependent on a shining sun or blowing winds , giving it an advantageâ € ” in some people 's minds â € ” over its renewable competitors .",nuclear energy,PRO,19421,PRO,correct
train,"Reasonable gun control & education steps can be put in place , so an outright ban is unnecessary .",gun control,PRO,12984,NEU,neutralized
train,Yet production and reproduction are both essential for a society 's survival .,nuclear energy,NEU,20460,PRO,polarized
test,"In the case of rape or incest , forcing a woman made pregnant by this violent act would cause further psychological harm to the victim .",abortion,PRO,1998,PRO,correct
train,"For example , Reich said labor makes up about one-third of a restaurant 's operating costs .",minimum wage,CON,18892,PRO,flipped
train,Technologies are often chosen or designed to enforce hierarchical control in the workplace .,nuclear energy,NEU,19711,NEU,correct
train,"Children are not consenting to their relation , but their relation , without their actual consent , binds them to its duties ; or rather it implies their consent because the presumed consent of every rational creature is in unison with the predisposed order of things .",cloning,NEU,4560,NEU,correct
train,We should have more of it !,gun control,PRO,11596,CON,flipped
train,"The United Nations Office of Drugs and Crime has also acknowledged the many "" unintended negative consequences "" of drug enforcement .",marijuana legalization,PRO,16212,CON,flipped
test,"A 2015 Purdue University study found that raising the wage of fast food restaurant employees to $ 15 or $ 22 per hour would result in a price increase of 4.3 % and 25 % respectively , or a reduction in product size between 12 % and 70 % : "" a hamburger would be much smaller , "" the researchers stated .",minimum wage,CON,18364,PRO,flipped
train,A death sentence brings finality to a horrible chapter in the lives of these family members .,death penalty,PRO,7242,PRO,correct
train,Enter your mobile number or email address below and we 'll send you a link to download the free Kindle App .,gun control,NEU,11781,PRO,polarized
train,Drug use is just a third of the European average while spending on drug control is three times the EU average .,marijuana legalization,PRO,15432,NEU,neutralized
train,"Leslie Dewan , co-founder and chief science officer at Transatomic Power – a nuclear power start-up that uses a spent uranium process similar to thorium — said in an interview that thorium has "" significant safety advantages . """,nuclear energy,PRO,21889,NEU,neutralized
train,"However , Pam Wilmot , of the campaign finance watchdog group Common Cause , says it 's not unusual for industries to make contributions based on economic self-interest .",marijuana legalization,NEU,14084,PRO,polarized
train,Corrosion could be an issue if the chemical balance is incorrect .,nuclear energy,CON,21209,PRO,flipped
train,"Uniforms go a long way to providing a focused , structured framework within the educational system , a sense of belonging , a sense of oneness , a layer of safety ( a missing child in a school uniform is easy to identify ) , and the bullying based on social-economic class diminishes ( it does not stop all bullying , of course ) .",school uniforms,PRO,23727,PRO,correct
train,"The first cloned mammal , Dolly the sheep was born on July 5 , 1996 .",cloning,NEU,6808,PRO,polarized
test,"Tooley , Michael ( 1998 ) , “ The Moral Status of Cloning Humans ” in Human Cloning : Biomedical Ethical Review .",cloning,NEU,5712,CON,polarized
train,"V ) , require the NRC to address its contentions .",nuclear energy,NEU,19210,NEU,correct
train,"A terrorist strike on a nuclear facility could be devastating "" Nuclear ’s Fatal Flaws : Security "" .",nuclear energy,CON,19029,CON,correct
test,"Coming to an agreement on this hot subject is not easy , but understanding it deeply can lead to some level of clarity .",cloning,NEU,6034,NEU,correct
test,"May be this gives you certain light to shape your thoughts , views and personality in turn .",death penalty,NEU,8857,CON,polarized
train,We as a society would be better off if they had less access to guns .,gun control,PRO,10686,CON,flipped
train,"“ By keeping marijuana illegal , we 've allowed some very dangerous and violent people to make a lot of money . ”",marijuana legalization,PRO,14888,PRO,correct
train,"He found that the "" minimum wage reduces net job growth , primarily through its effect on job creation "" and that those effects "" are most pronounced for younger workers and in industries with a higher proportion of low-wage workers . """,minimum wage,CON,18501,CON,correct
train,"For results based on the total sample of 634 who favor the death penalty , the margin of sampling error is ± 5 percentage points at the 95 % confidence level .",death penalty,PRO,8728,CON,flipped
train,""" Overall I think from a safety standpoint there is an improvement … but I do n't think they are going to be competitive , "" said Cochran , a nuclear physicist .",nuclear energy,NEU,21045,NEU,correct
train,"Five pregnancies were established , with a single fetus reaching the stage at which a heartbeat could be detected before a miscarriage at eighty-one days of gestation ( about half the normal gestation period for that species ) .",cloning,NEU,5218,CON,polarized
test,The guidelines in the AMA Code of Medical Ethics address physician participation in executions involving lethal injection .,death penalty,NEU,9121,NEU,correct
train,Other reasons include not wanting to stop work or schooling and/or because of financial or relationship instability .,abortion,NEU,1323,CON,polarized
test,Privacy Policy Do not show again .,death penalty,NEU,10449,PRO,polarized
test,"Only Plutonium and Uranium are feasible in nuclear weapons , and uranium is not a waste product .",nuclear energy,NEU,19134,PRO,polarized
train,"They hand out detentions , quibble over hair dye and sometimes , creepily , ask girls to kneel on the floor to check the length of their skirts .",school uniforms,CON,23032,NEU,neutralized
train,Upbringing and environment could turn an Einstein clone into another Adolf Hitler .,cloning,CON,4410,PRO,flipped
test,"It brings so many benefits in terms of moral , discipline and results because it is a leveller of children of all backgrounds .",school uniforms,PRO,22505,NEU,neutralized
train,"With the profit motive gone , no effort would be made to encourage its use by private dispensers of narcotics , and the drug peddler would disappear .",marijuana legalization,PRO,16325,NEU,neutralized
test,"Wayne LaPierre , Executive Vice President of the NRA , stated , "" The only thing that stops a bad guy with a gun is a good guy with a gun . """,gun control,CON,10906,CON,correct
test,"If Callahan ’s concerns were accurate , identical multiples would fail to be individuals in their own right , and , consequently , be harmed because of this .",cloning,CON,4901,CON,correct
dev,Bringing these animals back could have wonderful effects on the environment .,cloning,PRO,6609,CON,flipped
test,"Storage is safe and secure , plans are well in hand for eventual disposal .",nuclear energy,PRO,21177,NEU,neutralized
train,"• The cost of school uniforms is prohibitive , especially when a family has more them one school aged child .",school uniforms,CON,24627,NEU,neutralized
train,Often strategies may be fragmented when irritation arises between those who want to ' talk about ' issues and those who want to ' do things ' .,nuclear energy,NEU,19835,CON,polarized
test,They do n’t have the money to pay for good defense .,death penalty,CON,10347,NEU,neutralized
train,"However , all information is presented without warranty .",school uniforms,NEU,24078,CON,polarized
train,"Under the state scheme , she testified , there would be “ tremendous profit motive for the existing black market providers to stay in the market . ”",marijuana legalization,CON,14143,CON,correct
train,"36 In the sense of specific deterrence or incapacitation , of course , the forty-three who were put to death indeed have been deterred .",death penalty,PRO,9178,NEU,neutralized
train,"The increased opposition to nuclear power does not seem to result from a fear of it , as there have been no major nuclear disasters anywhere in the world since 2011 .",nuclear energy,PRO,20989,PRO,correct
train,That ’s because no student likes uniforms !,school uniforms,CON,23422,NEU,neutralized
train,"Sarah Rose , what about the bigger picture , namely , what happens after a child is born ?",abortion,PRO,1920,CON,flipped
train,"Capital punishment is an intolerable denial of civil liberties , and is inconsistent with the fundamental values of our democratic system .",death penalty,CON,8040,NEU,neutralized
test,First-movers like Seattle and L.A. are being watched closely for answers .,minimum wage,NEU,16686,CON,polarized
